Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
36..1.5.79..6..........3...6...7....1..9..7.2...5...91..81.6..37..........982...5,26,43,12,0,0,0,0,0,0,Easy
2..6.7......2.8.9...4.9......8....5...6.8.7....295.4.....7...4.5....16.9....65.8.,26,35,20,0,0,0,0,0,0,Easy
3...96.58..513......785.....3......55......9..12.......9...1...6..3..2...71.6....,25,48,8,0,0,0,0,0,0,Easy
..6.27.....71..4..2......1...........918........2.6..417.68....8.37..2....4...3..,24,36,21,0,0,0,0,0,0,Easy
..831...53.14....2.92..8.......83..48.369..5....5...8..1..4......42.......9..6...,27,39,15,0,0,0,0,0,0,Easy
....3.7.......5.215.18.6.....46..5.8..812...436.5............5...3......64....8.3,26,43,12,0,0,0,0,0,0,Easy
7....9..8..9.76......3...744.1........8..73..6..2.38....692.....83......9.....2..,25,40,16,0,0,0,0,0,0,Easy
93..12.784..............4253..2.4.....4..35....78592...........1..3........5...17,26,40,15,0,0,0,0,0,0,Easy
.2......5...2.4.3..63...1...1..5.67.58.34......7.6.5...5...........7.......8...2.,23,36,22,0,0,0,0,0,0,Easy
.5.....3.23.41...64....7.......4.....6........1..25..3...27.5.4....86.2.8..1..6..,25,44,12,0,0,0,0,0,0,Easy